===== Starting battle of <RandomOscillator> vs <DecoyMaster> with memory tape size: 24 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 35< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >76 | 30 | -30 | 128 ]
[ 35< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >75 | 30 | -30 | 128 ]
[ 34< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >75 | 30 | -30 | 128 ]
[ 34< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >74 | 30 | -30 | 128 ]
[ 33< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >74 | 30 | -30 | 128 ]
[ 33< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >73 | 30 | -30 | 128 ]
[ 32< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >73 | 30 | -30 | 128 ]
[ 32< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >72 | 30 | -30 | 128 ]
[ 31< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >72 | 30 | -30 | 128 ]
[ 31< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >71 | 30 | -30 | 128 ]
[ 30< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >71 | 30 | -30 | 128 ]
[ 30< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >70 | 30 | -30 | 128 ]
[ 29< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >70 | 30 | -30 | 128 ]
[ 29< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >69 | 30 | -30 | 128 ]
[ 28< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >69 | 30 | -30 | 128 ]
[ 28< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >68 | 30 | -30 | 128 ]
[ 27< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >68 | 30 | -30 | 128 ]
[ 27< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >67 | 30 | -30 | 128 ]
[ 26< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >67 | 30 | -30 | 128 ]
[ 26< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >66 | 30 | -30 | 128 ]
[ 25< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >66 | 30 | -30 | 128 ]
[ 25< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >65 | 30 | -30 | 128 ]
[ 24< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >65 | 30 | -30 | 128 ]
[ 24< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >64 | 30 | -30 | 128 ]
[ 23< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >64 | 30 | -30 | 128 ]
[ 23< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >63 | 30 | -30 | 128 ]
[ 22< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >63 | 30 | -30 | 128 ]
[ 22< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >62 | 30 | -30 | 128 ]
[ 21< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >62 | 30 | -30 | 128 ]
[ 21< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >61 | 30 | -30 | 128 ]
[ 20< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >61 | 30 | -30 | 128 ]
[ 20< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >60 | 30 | -30 | 128 ]
[ 19< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >60 | 30 | -30 | 128 ]
[ 19< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >59 | 30 | -30 | 128 ]
[ 18< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >59 | 30 | -30 | 128 ]
[ 18< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >58 | 30 | -30 | 128 ]
[ 17< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >58 | 30 | -30 | 128 ]
[ 17< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >57 | 30 | -30 | 128 ]
[ 16< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >57 | 30 | -30 | 128 ]
[ 16< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >56 | 30 | -30 | 128 ]
[ 15< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >56 | 30 | -30 | 128 ]
[ 15< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >55 | 30 | -30 | 128 ]
[ 14< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >55 | 30 | -30 | 128 ]
[ 14< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >54 | 30 | -30 | 128 ]
[ 13< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >54 | 30 | -30 | 128 ]
[ 13< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >53 | 30 | -30 | 128 ]
[ 12< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >53 | 30 | -30 | 128 ]
[ 12< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >52 | 30 | -30 | 128 ]
[ 11< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >52 | 30 | -30 | 128 ]
[ 11< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >51 | 30 | -30 | 128 ]
[ 10< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >51 | 30 | -30 | 128 ]
[ 10< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >50 | 30 | -30 | 128 ]
[ 9< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >50 | 30 | -30 | 128 ]
[ 9< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >49 | 30 | -30 | 128 ]
[ 8< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >49 | 30 | -30 | 128 ]
[ 8< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >48 | 30 | -30 | 128 ]
[ 7< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >48 | 30 | -30 | 128 ]
[ 7< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >47 | 30 | -30 | 128 ]
[ 6< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >47 | 30 | -30 | 128 ]
[ 6< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >46 | 30 | -30 | 128 ]
[ 5< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >46 | 30 | -30 | 128 ]
[ 5< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >45 | 30 | -30 | 128 ]
[ 4< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >45 | 30 | -30 | 128 ]
[ 4< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >44 | 30 | -30 | 128 ]
[ 3< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >44 | 30 | -30 | 128 ]
[ 3< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >43 | 30 | -30 | 128 ]
[ 2< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >43 | 30 | -30 | 128 ]
[ 2< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >42 | 30 | -30 | 128 ]
[ 1< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >42 | 30 | -30 | 128 ]
[ 1< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >41 | 30 | -30 | 128 ]
[ 0< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >41 | 30 | -30 | 128 ]
[ 0< | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | -1 | -1 | 1 | 1 | 0 | >40 | 30 | -30 | 128 ]

===== DecoyMaster won the battle after 488 cycles =====



===== Starting battle of <RandomOscillator> vs <DecoyMaster> with memory tape size: 17 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 5< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 6< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | 7< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | >-1 | 0 | 0 | 0 | 0 | 0 | 8< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | >0 | 0 | 0 | 0 | 0 | 9< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | >-1 | 0 | 0 | 0 | 0 | 10< | 0 | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | >0 | 0 | 0 | 0 | 10 | 0< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | >1 | 0 | 0 | 0 | 10 | -1< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | >0 | 0 | 0 | 10 | -2< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | >0 | 0 | 0 | 10 | -3< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | >0 | 0 | 10 | -4< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | >0 | 0 | 10 | -5< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | >0 | 10 | -6< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | >0 | 10 | -7< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >10 | -8< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >10 | -9< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >11 | -10< | 0 | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >11 | -10 | 0< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >10 | -10 | 1< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >10 | -10 | 2< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >9 | -10 | 3< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >9 | -10 | 4< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >8 | -10 | 5< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >8 | -10 | 6< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >7 | -10 | 7< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >7 | -10 | 8< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >6 | -10 | 9< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >6 | -10 | 10< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >5 | -10 | 11< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >5 | -10 | 12< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >4 | -10 | 13< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >4 | -10 | 14< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >3 | -10 | 15< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >3 | -10 | 16< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >2 | -10 | 17< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >2 | -10 | 18< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >1 | -10 | 19< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >1 | -10 | 20< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | -10 | 21< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | -10 | 22< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | >0 | -10 | 23< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-10 | 24< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-10 | 25< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-9 | 26< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-9 | 27< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-10 | 28< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-10 | 29< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-11 | 30< | 0 | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-11 | 30 | 0< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-12 | 30 | -1< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-12 | 30 | -2< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-13 | 30 | -3< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-13 | 30 | -4< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-14 | 30 | -5< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-14 | 30 | -6< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-15 | 30 | -7< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-15 | 30 | -8< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-16 | 30 | -9< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-16 | 30 | -10< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-17 | 30 | -11< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-17 | 30 | -12< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-18 | 30 | -13< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-18 | 30 | -14< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-19 | 30 | -15< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-19 | 30 | -16< | 128 ]
[ 128 | -1 | 1 | -1 | 1 | 1 | -1 | -1 | 1 | 0 | 0 | 0 | 0 | >-20 | 30 | -17< | 128 ]
